Date,Name,Icon,Type,Quantity,Units,Calories,Deleted,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
05/01/2020,"Egg, Large",Egg,Dinner,1.0,Each,72,0,4.75,6.28,0.36,1.56,0.19,0,186,71
05/01/2020,"Oil, Olive, Extra Virgin",Oil,Dinner,1.0,Teaspoon,40,0,4.50,0,0,0.67,0,0,0,0
05/01/2020,Puffed Kamut,Cereal,Snacks,2.0,Cups,100,0,0,6,22,n/a,0,n/a,n/a,n/a
05/01/2020,"Apple, Honeycrisp, Small",Apple,Snacks,5.8,Ounces,82,0,0.26,0.39,21.25,0,n/a,3.80,0,1.55
05/01/2020,Clementines,Orange,Snacks,1.0,Piece,40,0,0.50,1,10,0,7,2,0,1
05/01/2020,"Orange, Medium",Orange,Snacks,0.25,Each,15,0,0.4,0.31,3.85,0,3.6,0.79,0,0
05/01/2020,"Sugar, Granulated",SugarWhite,Snacks,1.0,Teaspoon,16,0,0,0,4.20,0,4.19,0,0,0.4
05/01/2020,"Popcorn, Yellow, Kernels",Corn,Snacks,1.33,Tablespoons,105,0,0.49,1.97,11.31,0,0,2.46,n/a,0
05/01/2020,"Oil, Canola",Oil,Snacks,1.0,Teaspoon,40,0,4.67,0,0,0.33,0,0,0,0
04/30/2020,Chia pudding,Recipe,Breakfast,1.0,Serving,106,0,3.17,13.33,5.50,0.58,0.50,3.33,15,31.67
04/30/2020,Fesenjan,Recipe,Lunch,1.0,Serving,359,0,19.14,23.74,17.34,3.36,11.86,1.54,82.20,79.78
04/30/2020,Instant pot Dal Makhani,Recipe,Lunch,1.0,Serving,86,0,1.85,8.29,9.42,1.17,1.99,9.87,5,3.80
04/30/2020,Pita Bread Whole Wheat,Toast,Lunch,0.5,Serving,65,0,0.75,2.50,13,0,0.25,1,0,100
04/30/2020,Green Cabbage,Cabbage,Lunch,0.1,Each,31,0,0,1.25,6.25,0,3.75,2.50,0,25
04/30/2020,"Peppers, Bell, Red, Medium, 2 3/4"" x 2 1/2""",BellPepperRed,Lunch,0.33,Each,12,0,0.12,0.39,2.37,0.1,1.65,0.82,0,1.57
04/30/2020,"Salad Bar, Grape Tomatoes",Tomato,Lunch,6.0,Each,15,0,0,0,3,0,0.75,0,0,0
04/30/2020,Fesenjan,Recipe,Dinner,1.0,Serving,359,0,19.14,23.74,17.34,3.36,11.86,1.54,82.20,79.78
